contract_id	normalizer_version	owner	plugin	contract_key	contract_label	normalization_basis	normalization_confidence	review_flags	scheduling_status	work_category	required_plugins	callable_obligations	evidence_occurrences	unmatched_callables	consumer_candidate_callables	coverage_status	review_status	rust_consumer_candidates	member_obligation_ids	member_original_names
SC-G01-8590b3a180ef	2	G01	shell	game:mode:config	game / mode / config	semantic-phrase	medium	singleton	implementation-ready	implementation	shell	1	1	1	0	unmatched	accepted		OB-G01-395ef3a0fb27	set_game_mode_from_config_path
SC-G01-9607ed42ae89	2	G01	shell	game:mode:runtime	game / mode / runtime	semantic-phrase	medium	singleton	implementation-ready	implementation	shell	1	1	1	0	unmatched	support		OB-G01-c88866ec208b	ensure_game_mode_runtime_record_storage
SC-G01-ad0a484a8481	2	G01	shell	globe:dot:visible	globe / dot / visible	semantic-phrase	medium	singleton	implementation-ready	implementation	shell	1	1	1	0	unmatched	support		OB-G01-ee5f60bafa23	set_globe_dot_visible_recursive
SC-G01-4b9420ec6e8c	2	G01	shell	globe:index	globe / index	semantic-phrase	medium	singleton	implementation-ready	implementation	shell	1	1	1	0	unmatched	partial		OB-G01-d31f0acae863	hit_test_globe_entry_index
SC-G01-76b5340bb6aa	2	G01	shell	globe:location:list	globe / location / list	semantic-phrase	medium	singleton	implementation-ready	implementation	shell	1	1	1	0	unmatched	support		OB-G01-447d044b6519	tick_globe_location_list_refresh
SC-G01-49bd5d4f1652	2	G01	shell	lab:map:list	lab / map / list	semantic-phrase	medium	singleton	implementation-ready	implementation	shell	1	1	1	0	unmatched	support		OB-G01-5e88b9ff28da	LAB_refresh_map_list_and_globe_consumers
SC-G01-f4bbcdd30381	2	G01	shell	location	location	semantic-phrase	medium	singleton	implementation-ready	implementation	shell	1	1	1	0	unmatched	support		OB-G01-ac1152167560	lookup_location_entry_by_id
SC-G01-5c9259167fd6	2	G01	shell	location:mgr:chain	location / mgr / chain	semantic-phrase	medium	singleton	implementation-ready	implementation	shell	1	1	1	0	unmatched	support		OB-G01-6f72c227e56f	location_mgr_chain_contains_key
SC-G01-676bb6e5c2c5	2	G01	shell	location:mgr:key	location / mgr / key	semantic-phrase	medium	singleton	implementation-ready	implementation	shell	1	1	1	0	unmatched	support		OB-G01-44860f1a66e6	lookup_location_mgr_entry_by_key
SC-G01-e55a7418514d	2	G01	shell	main:menu:shell	main / menu / shell	semantic-phrase	medium	singleton	verification-ready	verification	shell	1	1	0	1	consumer-candidate	partial	MainMenu@projects/reimplementation/game/src/plugins/shell/mod.rs:40;ReturnToMainMenu@projects/reimplementation/game/src/plugins/shell/mod.rs:104;return_to_main_menu@projects/reimplementation/game/src/plugins/shell/routing.rs:123	OB-G01-479f1092166d	populate_main_menu_shell
SC-G01-e6a9a7b722c8	2	G01	shell	mode	mode	semantic-phrase	medium	singleton	implementation-ready	implementation	shell	1	1	1	0	unmatched	accepted		OB-G01-fb2b24107ec6	set_mode_selected_target_handle
SC-G01-7e5bc23fdf2c	2	G01	shell	mode:anchor	mode / anchor	semantic-phrase	medium	singleton	implementation-ready	implementation	shell	1	1	1	0	unmatched	revision-required		OB-G01-ccf3fb84519f	handle_set_mode_anchor_object
